Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
Avalon Mews,5805 Wales Street,TBD,Townhomes,TBD,55,Wood,3,,,,,,,,
Avani Centre at King George Boulevard in Surrey,King George Blvd & Fraser Hwy,,"Condos, Hotel",Avani Investment Group,181,,30,walking distance from King George Skyline station as well as Simon Fraser University,,,Holland Park,"Shopping Mall, Restaurants, entertainment, schools, pharmacies, public transportation and more",,,
Avenue One Vancouver in False Creek by Concord Pacific,"201 W 2nd Ave, Vancouver, BC V5Y 3V5",,Condos,Concord Pacific,247,Concrete,21,,,North-facing open balconies,,,EV parking provided,332 bicycle lockers and one Class B loading bay,
Avery Lane Townhome in Victoria,1810 Kings Road,,Townhouse,Abstract Developments,16,,,3 & 4 Bedroom Townhomes,,,"Kings Park, THe Spirit Garden",Oak Bay and Estevan Village,,,
BRILLIA,2628 Duke Street,,"1, 2 and 3 bedroom",Benest,29,,4,"Google Home voice controlled smart living and home assistant, Nest smart thermostat, Philip smart LED lights, 1 year free Telus Wi-Fi Service, 24 hour building monitering","HRV system, roller blinds, floor-to-ceiling windows, wide plant engineered laminate flooring",,"Norquay Park, Slocan Park, Renfrew Ravine Park","Dining, Skytrain station, Public Library, Plaza, Elementary Schools, Metropolis at Metrotown",,Lockers for all homes,
Barclay Village Downtown Vancouver,1070 Barclay Street,,Condos,Bosa,680,Concrete,48,Green roofs and void spaces between some floors for outdoor residential amenity spaces,,,,"shopping, dining, entertainment",,,
Barnard's Village in Vernon,20th St & 58th Ave,"Starting from $297,900",Ranch-Style Single Family Home,Central City Management & Developments,78,,,,"Ranch style homes, 2-bed, 2-bath, 2-car garage and backyard terrace",,MacDonald Park,"Shops, restaurants, cafés, spas, parks, gyms, walking trails & everything else the Okanagan has to offer",2,Yes,
Basalt by Pennyfarthing Development Group at QE Park,5070 Cambie Street,,,Pennyfarthing Development Group,51,,,,,,Queen Elizabeth Park,"Shopping, Dining, Schools",65,"17 bulk storage spaces, and in-suite storage",
Base 10 | Chilliwack's Newest Townhouse Community,Promontory Rd & Thomas Rd,"Starting from $470,000",Townhouse,Van Maren Group,52,,,,3-bedroom + den home OR 3-bedroom + secondary suite home,Mountains & nature,Uplands Park,"Vedder Elementary School, Vedder Crossing Plaza, Cheam Leisure Centre, Kinkora Golf Course, Twin Rinks Arena, Chilliwack & Cottonwood malls",2 + visitor parking,Yes,
Beaufort Landing at Hampton Cove,5551 Admiral Way,,Townhouse,Polygon Homes,124,,,A wide variety of floorplan options with exceptional views of the water (most homes),,Water View,Windjammer Park,"Nielson Grove Elementary, Millennium Trail, golf club, Hampton Cove and more",,,
Belle ISLE by Citimark Developments,"1922 Belle Isle, North Vancouver",TBD,Stacked Townhomes,Citimark,88 Townhomes & Flats,Wood,3,Roof Top Patio,,,"Belle Isle park, capilano river","Park Royal Mall, entertainment, nature, ski hill",,,
Bellevue by Cressey - West Vancouver,Marine & 23rd,$4 million +,,Cressey,,,,,,,,,,,
"Bellewood Park | Victoria, BC",1201 Fort St,"Sales starting from $665,000",Condo & Townhouse,Abstract Developments,83,,4- & 6-storey condo buildings + 3-storey townhomes,,"1-3 bedroom homes, ranging from 722 - 2,316 sf",,"Beacon Hill Park, Robert J. Porter Park","Steps to schools, shops, restaurants & services of downtown Victoria",Electric vehicle service available,,
Belmont Residences in the heart of Langford,near Jacklin Avenue,,Condo,Ledcor Property Development,80,,5,Minimum 9 foot ceilings in all homes,Elegant swinging patio doors open onto balconies,,Veterans Memorial Park,"Thrifty Foods, Fatburger, Edo Japan, KFC, A&W, Freshii, Good Earth, Scotiabank, Anytime Fitness, Eye Etiquette, Great Clips, and more!",,,
Belpark Vancouver by Intracorp,375 W 59th Ave,,Mid rise Buildings,Intracorp,154,,6,,,,,,"171 regular vehicle parking stalls, 44 small car spots,",308 Lockers,
Bennington House - Presale Condos & Townhouses on the Cambie Corridor,4080 Yukon Street,TBA,Condos and Townhomes,Pennyfarthing,26 Condos and 6 Townhomes,Woodframe construction,4,,,,Queen Elizabeth Park and Hillcrest Park,,,,
Berkeley House by Polygon in Richmond,Garden City Rd,,Condo,Polygon,,,4,Designed by award-winning RLA Architects Inc.,"Hotel-style lobbies impress with wood panelled walls, custom ambient lighting, imported stone flooring, and inviting seating areas where residents can relax and socialize",,Tomsett Neighbourhood School Park,"Restaurants, entertainment, schools, pharmacies, public transportation, shopping mall and more",,,
Bertram at Bernard | Kelowna,Bertram Street,"Starting from the $200,000s",Condo,Mission Group,257,,34,,"Studio, 1, 1.5 & 2 bedroom suites","Expansive city, water & mountain views",Kelowna City Park,"Wineries; beahces; restaurants, shops, entertainment & conveniences of Bernard District",TBA,TBA,
Beverly by West Fraser Developments | Kelowna,Enterprise Way,"Starting from $330,900",Condo,West Fraser Developments,56,Wood & Concrete,6,,"Studio, 1- & 2-bedroom suites",City views,"Parkinson Recreation Park, Mill Creek Linear Park",Okanagan Rail Trail; Parkinson Rec Centre; shopping/restaurants/cafes at Orchard Plaza,Secured parking,,
Bishop Vancouver - Six New Townhomes Set for Kerrisdale,7270 Cypress St,,Townhomes (2- and 3-bedrooms),Airey Group,6,,,Large Outdoor Space,,,,,,,
Blackberry Walk 3 in Surrey,6030 142 Street,,Townhomes,Woodbridge Properties,48,,,Woodbridge Properties in partnership with Park Ridge Homes Construction - providing over 3 decades of building experience in the Fraser Valley.,,,,"Steps to Woodward Hill Elementary, walk to parks, transit and shops.",,,
Block 100 - Onni's New Development in Olympic Village,1695 Main,,"Studio, 1-, and 2- bedroom homes",Onni,231,Concrete,15 storeys and 10 storeys,Rooftop Terraces,,,,Steps to Olympic Village,,,
Boardwalk in Tsawwassen,2415 Tsawwassen Dr N,"Starting at $529,900","Townhomes, duplexes, single-family homes",Aquilini Development and Construction,,,,Community boardwalk to Breakwater Path,"3 - 4.5 bedrooms, ranging from 1,294 - 2,286 sf",,,"Tsawwassen Springs Golf Course, beach, Tsawwassen Ferry Terminal, Tsawwassen Mills & Tsawwassen Commons shopping",,,
"Bordeaux Living | Brentwood, Burnaby",Juneau St and Willngdon Ave,TBD,Condos/Townhomes,Solterra Group of Companies,140,Concrete,23,,"1-3 bedrooms, ranging from 472 - 1587 sf",,Burnaby Lake Regional Park,"Walking distance to shopping, services, restaurants & recreational amenities of Brentwood Town Centre",3-levels of underground parking,Yes,
Bosa's Final Phase of Miramar in White Rock,North Bluff and Johnston,,,Bosa,,Concrete,,White Rock Beach adjacent,,Ocean,"Centennial Park, Ruth Johnson Park",,,,
Boulevard Private Residences - Spacious Living in Vancouver's Kerrisdale,5305 West Boulevard,"$448,000+","one-, two-, and three-bedroom condos",Redekop Homes Ltd.,38 exclusive private residences,,,spacious floor plans and generous balconies,,,,"in-a-second access to shops and cafes in upscale, walkable Kerrisdale, near Point Grey Secondary School",,,
Boutique Living at Queen Elizabeth Park - Introducing James Walk Vancouver by Mosaic Homes,168 E 35th Avenue,,"2-bedroom, 2-bedroom + den, and 3-bedroom condo homes",Mosaic Homes,48,Wood frame construction with a brick exterior,6-storeys,,,Mountain and Park Views,Queen Elizabeth Park,,,,
Bravo on Broadway in Vancouver,903 E Broadway,,Townhome,Legendary Developments,8,,3,"Timeless brick with board-and-batten accents, pitched rooflines, and energy saving multi-panel windows",,,China Creek South Park,"Restaurants, entertainment, schools, parks and more",Every home has the added convenience of an enclosed 1 car garage,,
Brewery District Building Seven,268 Nelson's Ct,,Condo,Wesgroup Properties,225,,32,,,,close to Sapperton Park,Save-On Foods grocery shopping nearby,,,
Brightside In Surrey City Centre,City Pkwy & 104 Ave,,Condo,BlueSky Properties,"1,352",,3 X 50-storey,,"Studio, 1-, 2- & 3-bedroom homes",,,"Civic Centre restaurants, shops, services; KB Woodward Elementary & Kwantlen Park Secondary schools; Simon Fraser University",5 levels of underground parking,Yes,
Bristol Heights at Westerleigh in Abbotsford,Westridge Place,,Townhomes,Polygon Homes,,,,Mountain farmhouse-style architecture with large verandas and cultured stone detailing,,,Townline Hill Park,"close to schools and shopping, and right beside the Discovery Trail",,,
British Pacific Properties - Aston Hill,2726 Highview Place,"$2,698,00+",Semi-Detached Single Family Homes,British Pacific Properties,20,Wood,,Incredible Views,,"yes, downtown, water, UBC",Cyrprus Bowl,"Skiing, Shopping, Marinas",Priviate Garages,,
Brixx in downtown Kelowna,Richter Street,"Starting from $799,900",Townhouse,Majormaki & McLean Development Co.,12,,,,3-bedroom + 2.5 bathroom townhomes + rooftop patio & garage,City views,Waterfront Park,"Lake, recreation, restaurants, shops, entertainment & services",2,Yes,
Briza In Surrey,78A Ave & 132 St,"$219,900 - $748,900",Condo & Townhouse,Genaris Properties,65,,5,Energy Star certified homes,"1 & 2 bedrooms, including dens, outside patios & balcony spaces - ranging from 326 to 1,243 square feet",,Bear Creek Park & Holland Park,"Close to multiple schools, parks, shops, & restaurants; Shopping, dinning & conveniences at Surrey Central Mall",,,
Brookhouse Residences in East Vancouver,1872 Parker St.,,Condo and Townhouse,Equitas Projects,10,,4,Commercial Drive shopping area is located two blocks to the west,,,Salsbury Park,"Britannia Community Centre, Vancouver East Cultural Centre",5,,
Brooklyn at Bernard Block in downtown Kelowna,1471 St Paul Ave,,Condo,Mission Group,178,Concrete,25,Zoned for short-term rentals,"close to Okanagan Lake, the new Kelowna Yacht Club and the recreational City Park and waterfront boardwalk.","Spectacular city, mountain, and lake views",Kelowna City Park,"Restaurants, entertainment, schools, pharmacies, parks and more",above grade structured parking,,
Brooklynn,"467 Mountain Highway, North Vancouver","1's starting from $299,900, 2' Starting at $479,900",condos,Wanson Developments,63,wood,6,,,,"Bridgeman Park, Seylynn Park","shopping, entertainment, nature, ski hill",,,
Brookmere by Onni,535 North Road,"$299,900",condos/townhome,Onni,216,concrete,28,garden plots,,some,,"shopping, transit, golf",,,
Brownstones at Kingcrest Park - East Vancouver,4328 Knight St,,,Epix developments,,,,,,,,,,,
Burke Place Townhomes,Burke Mountain,"Sales from $840,000",Townhouse,Mortise Group of Companies,16,,,,"3 bedroom townhomes, ranging from 1,573 - 2,032 sf","Expansive forest, mountain & valley views","Pinecone Burke Provincial Park, Harper Park & many more","Minutes from schools, parks & trails; Quick drive to downtown Coquitlam shopping, restaurants & entertainment",Attached garages,Yes,
Burrard Place (Formerly Burrard Gateway) - A New Downtown Vancouver Presale Condo,1290 Burrard Street,,,Reliance Properties and Jim Pattison Developments,810 housing units projected in two striking towers,sculptural curving glass facade,54 storeys,double height lobby,,,,,,,
"By The Bay | Downtown, Vancouver",Nicola St & Harwood St,,Condo,Dimex Group,13,,6,Passive House standards,"Studio, 1, 2 & 3 BED, ranging from 404 - 2,706 sf",,Short walk to Stanley Park,"English Bay, Sunset Beach, Denman Street cafes & restaurants",1 level of underground parking,,
CF Richmond Centre,6551 No. 3 Road,,Studio to Townhouse,Cadillac Fairview & SHAPE,2000,,,,,,,Minoru Park & City Hall,4000,,
CREST Townhomes by Essence,19938 70 Ave,"$683,000 - $779,000",Townhouse,Essence,16,Wood frame,,"9 ft ceilings , wide open-concept kitchen , laminate flooriong.",,,Yes,"Minutes away from Willowbrook Mall, Hwy's, and Langley Event Centre",,,
Calla at The Gardens - Richmond,No. 5 & Steveston,,,Townline,,,,,,,,,,,
Cambie & 35th - Condo Living next to Vancouver's Queen Elizabeth Park,5169 Cambie St,,,Washington Properties,118,all-concrete condo homes,,"air conditioning, high ceilings",,,convenient access to Queen Elizabeth Park,close to Oakridge Centre,,,
Cambie & 59th by iFortune,449 W 59th Ave,,Condo,iFortune,63,Concrete,6,,,overlooks the expanse of Winona Park to the south,Winona Park，Cambie Park,"Restaurants, entertainment, schools, pharmacies, public transportation, shopping mall, cinema and more.",103,,
Cambie & King Edward - Cambie Corridor,Cambie & King Edward,,Townhomes / One to Four Bedroom condos,Tianco Group,71,Concrete,6,"Proximity to transportation, parks, restaurants, shopping, etc.",,,Queen Elizabeth Park,"Restaurants, shopping, bars, transportation, parks, etc.",62,,
Cambie & West 49th | Vancouver's West Side,Cambie St & West 49th Ave,,Condo + Townhouse,Gryphon Development,127,,10,,"Studio, 1, 2 & 3 bedroom condominiums or townhomes",,Tisdall Park,"Close to shops, restaurants & conveniences of Oakridge Centre; Langara College & Langara Family YMCA within walking distance; Minutes from Langara Golf Course",2 levels of underground parking,,
Cambie Gardens Vancouver by Onni,650 West 57th Ave,,Condos,Onni,,,,All Homes Air Conditioner,6.5 acres of open space; 2.5 acre park (2 football fields),Views of Langara Golf Course to the East and great views to the South and West with mountain views to the North,Winona park,"Langara Golf course, Churchill, Sir Wilfred Laurier",Yes,Yes,
Cambie62 By GD Omni,"7790 Cambie St,",,Condos,GD Omni,27,Concrete,6,,,,Winona park,Langara Golf course,25,28,
Cambria Park Vancouver - New MOSAIC HOMES Condo Presale for Cambie Corridor,Cambie Street and west 54th,,"Large 1, 2, 3-bedroom homes",MOSAIC HOMES,,Wood-frame construction with concrete floors,,"LEED Gold certified, radiant in-floor heating, high-volume 9-foot and 10-foot ceilings, impressive appliance ensemble, Travelers 1-2-5-10 New Home Warranty",,Langara Golf Course and Cambie Park,"Cambie Park, Tisdall Park, Winona Park, Oak Park","Oakridge Shopping Centre, Marine Gateway Development with cinemas and supermarket. Proximity to both everything downtown Vancouver has to offer and Richmond's River Rock Casino.",,,
Cambria by Mosaic - Modern Living on the Cambie Corridor,Cambie St. and 50th St.,,"1-, 2- and 3-bedroom condo homes",Mosaic Homes,Approx. 120 units spread across 2 buildings,Striking iron-grey brick facade with contrasting white form,,,,,,Neighbouring Oakridge Centre and Langara College,,,
Cambridge Estates Fort St. John,11703 102 St,,townhouses & coach homes,Western Canadian Properties Group,95 townhouses & 7 coach homes,,,short drive to Charlie Lake recreation,complete turn-key rental management options,,,5-minute drive to downtown shops & services close to Pomeroy Sport Centre,,,
Cambridge Mews - Six Stately South Kerrisdale Brick Townhomes,Kerrisdale,,,TATLA Developments,,,,,,,,,,,
Camden at the Falls,8361 Nixon Rd,,Single Family Home,Aquilini Development and Construction,47,,,complimentary golf club membership,9’ ceilings on main floor with beautiful vaulted ceiling feature (most homes),picturesque valley & mountain views,,10-minute drive to downtown Chilliwack; 10-minute drive to Bridal Falls; 22km to Cultus Lake; 25km to Harrison Hot Springs,Each home has a 2-car garage,,
Camellia Residences in Surrey,10928 132 St,,Condo,ATL Senior Living,116,woodframe,5-storey,,,,,"Central City Shopping Centre, City Centre Library, Guildford Town Centre, Landmark Cinema, and Green Timbers Urban Forest Parks",,,
